name,description,price,stock,imageUrl,categoryName
Samsung Galaxy M34 5G,"6.5 inch AMOLED, 6000mAh, 50MP camera",15999,120,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=800&q=80,Mobiles & Tablets
iPhone 15,"A16 chip, Dynamic Island, dual camera system",69999,45,https://images.unsplash.com/photo-1592899677974-9bc0a4e8e0e0?auto=format&fit=crop&w=800&q=80,Mobiles & Tablets
OnePlus Nord CE 3,"120Hz display, 80W fast charge",24999,80,https://images.unsplash.com/photo-1565849902261-2a39be9c72c0?auto=format&fit=crop&w=800&q=80,Mobiles & Tablets
Redmi Note 13 Pro,"200MP camera, curved AMOLED display",23999,95,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?auto=format&fit=crop&w=800&q=80,Mobiles & Tablets
iPad Air,"M1 chip, 10.9 inch Liquid Retina display",54999,35,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?auto=format&fit=crop&w=800&q=80,Mobiles & Tablets
Wireless Earbuds Pro,"ANC, 28h total battery, IPX5",2999,200,https://images.unsplash.com/photo-1590658268037-6bfad31c0f0e?auto=format&fit=crop&w=800&q=80,Mobiles & Tablets
HP Pavilion Laptop,"Intel i5, 16GB RAM, 512GB SSD, 15.6 inch",54999,60,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?auto=format&fit=crop&w=800&q=80,Laptops & Computers
MacBook Air M2,"13.6 inch display, 8GB RAM, 256GB SSD",99999,25,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?auto=format&fit=crop&w=800&q=80,Laptops & Computers
ASUS Gaming Laptop,"RTX 4060, 144Hz display, 16GB RAM",89999,30,https://images.unsplash.com/photo-1603302576837-37561b2e2302?auto=format&fit=crop&w=800&q=80,Laptops & Computers
Mechanical Keyboard RGB,"Hot-swappable switches, wireless",3499,150,https://images.unsplash.com/photo-1587829741301-d7988e5b0e8f?auto=format&fit=crop&w=800&q=80,Laptops & Computers
27 inch 4K Monitor,"IPS panel, 60Hz, HDMI and DisplayPort",18999,40,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?auto=format&fit=crop&w=800&q=80,Laptops & Computers
1TB NVMe SSD,"Gen4, 3500MB/s read speed",5999,180,https://images.unsplash.com/photo-1597872200969-2b65d7f5c5b1?auto=format&fit=crop&w=800&q=80,Laptops & Computers
55 inch Smart LED TV,"4K UHD, Dolby Audio, Android TV",42999,50,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?auto=format&fit=crop&w=800&q=80,TV & Appliances
Split AC 1.5 Ton,"5-star inverter, copper condenser",35999,35,https://images.unsplash.com/photo-1631545806609-8fb5c1b2f2f3?auto=format&fit=crop&w=800&q=80,TV & Appliances
Front Load Washing Machine,"7kg, steam wash, inverter motor",27999,28,https://images.unsplash.com/photo-1626806819282-2d1b0d0e0b0a?auto=format&fit=crop&w=800&q=80,TV & Appliances
Microwave Oven 28L,"Convection, auto cook menus",8999,70,https://images.unsplash.com/photo-1574269909862-7e1d1bb011e9?auto=format&fit=crop&w=800&q=80,TV & Appliances
Air Fryer 4.5L,"Digital touch panel, 8 presets",4999,90,https://images.unsplash.com/photo-1585515320310-259814833e62?auto=format&fit=crop&w=800&q=80,TV & Appliances
Bluetooth Speaker,"20W RMS, 12h playback, waterproof",2499,160,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?auto=format&fit=crop&w=800&q=80,TV & Appliances
